Income,Taxes,Groceries,Meals,Utilities,Cloth,Alcohol,Fuel,Phone,Children,Adults,Ownhouse,Education.Level,HH Age,HH Gender,,Education Level,,,GHH: Gender of the Household Head,
"$11,400",0,2086,0,460,120,521,240,300,0,1,1,P,49,F,,,,,,
"$105,210",26976,9385,720,2150,900,1304,1020,1080,2,2,0,M,36,F,,,,,,
"$162,400",22878,3389,0,3340,300,3389,840,900,0,3,0,B,43,M,,,,,,
"$77,108",14261,7039,1020,875,2100,2347,3300,1980,0,2,0,M,35,F,,,,,,
"$49,078",5676,9385,0,940,0,0,0,0,0,4,0,S,35,F,,,,,,
,12080,6778,660,720,600,1043,300,690,0,2,0,S,51,F,,,,,,
"$210,350",65490,15642,1200,600,480,1304,1200,690,3,2,1,B,32,M,,,,,,
"$90,400",6027,10428,1200,1100,1200,0,2640,1410,0,2,1,M,47,F,,,,,,
"$14,532",0,2086,600,360,0,1043,600,360,0,1,1,P,32,M,,,,,,
"$187,945",17202,7821,780,1250,600,1043,3000,3300,3,2,1,M,36,M,,,,,,
,66765,15642,720,1200,1800,521,4200,2400,2,3,1,I,32,M,,,,,,
"$25,308",0,7821,1440,905,420,1226,360,660,0,2,1,I,31,M,,,,,,
"$62,497",12690,6257,1200,600,480,104,3120,840,2,1,0,B,35,F,,,,,,
"$75,638",11855,10428,480,1600,0,521,480,360,0,4,1,M,38,M,,,,,,
"$39,360",6643,6257,1800,350,600,3650,1440,3600,0,1,1,P,44,M,,,,,,
"$21,552",1971,4693,540,973,480,0,1200,540,0,1,1,S,45,F,,,,,,
"$94,258",13215,15642,1200,1200,2400,0,2400,2040,1,2,1,B,35,F,,,,,,
"$168,852",45697,7821,0,70,0,0,1200,840,0,3,1,M,32,M,,,,,,
"$35,990",0,6257,1800,500,480,2607,480,480,0,2,1,I,36,F,,,,,,
"$60,249",9042,13035,3000,1300,3000,3128,1920,2400,1,2,1,B,34,M,,,,,,
"$17,446",1158,13035,2400,800,1200,2607,3600,720,0,1,1,P,54,F,,,,,,
"$129,521",38185,7300,1800,720,480,5214,3600,1440,0,2,1,M,36,M,,,,,,
"$10,684",0,3911,360,495,0,,1620,636,0,2,1,P,42,M,,,,,,
"$12,090",0,3128,0,500,480,521,0,2784,0,1,1,S,45,F,,,,,,
"$33,750",5705,10428,0,600,2400,2086,0,1200,0,2,,I,55,F,,,,,,
"$14,220",0,2607,480,1000,300,521,1020,1560,0,1,1,P,32,F,,,,,,
"$76,848",15282,10428,1200,1100,2400,0,2520,3000,2,2,1,B,32,F,,,,,,
"$21,742",0,10428,2640,800,0,0,960,240,1,1,0,I,32,M,,,,,,
,1068,10428,720,660,600,0,1200,0,0,2,1,I,46,M,,,,,,
"$85,850",24036,8864,840,1000,1200,1304,2160,960,0,2,1,B,32,M,,,,,,
"$429,210",10720,6518,2400,1250,2220,1825,1680,1440,1,3,1,B,33,F,,,,,,
"$150,954",47038,13556,600,1600,240,1825,480,480,2,2,1,M,25,M,,,,,,
"$39,237",4989,8864,600,120,600,0,0,1800,1,2,1,I,50,F,,,,,,
"$40,300",4254,5214,360,200,0,0,960,,0,2,1,P,29,F,,,,,,
"$65,411",4691,10428,360,1200,240,0,600,300,3,3,1,M,37,F,,,,,,
"$12,090",0,3128,0,130,0,1251,0,708,0,1,1,P,35,M,,,,,,
"$20,513",0,3128,240,500,1200,521,0,720,0,1,1,I,31,F,,,,,,
,6698,4171,0,200,480,0,480,840,0,1,0,S,36,M,,,,,,
"$98,000",20199,4171,3360,600,1200,0,1560,960,0,2,0,B,32,F,,,,,,
"$87,000",17042,10428,600,800,1920,782,3000,1140,0,2,1,I,35,F,,,,,,
"$36,742",6625,2607,,200,240,0,600,60,0,1,0,S,34,M,,,,,,
"$35,470",0,10428,480,590,900,0,1200,1260,2,4,0,S,27,F,,,,,,
,9557,5475,900,950,900,782,2898,1740,0,2,1,P,33,F,,,,,,
"$23,587",0,5214,600,800,960,0,480,600,3,2,0,P,37,M,,,,,,
"$8,270",0,1825,960,1600,120,0,1440,480,0,1,0,P,29,F,,,,,,
"$57,626",6698,15642,2400,1557,1200,0,1200,840,3,2,1,M,45,F,,,,,,
"$75,762",11677,10428,1200,1000,600,0,1200,840,0,4,1,B,50,M,,,,,,
"$32,120",5307,2607,2400,600,0,0,1800,0,0,1,0,S,41,F,,,,,,
"$118,500",26260,8082,540,995,1080,782,4500,3900,1,3,1,I,39,F,,,,,,
"$68,162",10663,5214,960,2000,2400,0,2400,1800,1,2,0,B,30,F,,,,,,
"$29,100",0,15642,0,1500,0,1043,3000,1440,1,3,0,B,34,F,,,,,,
"$92,521",18576,10428,1800,380,240,0,2400,18000,3,2,0,B,32,F,,,,,,
"$29,898",4066,3128,360,400,120,0,480,600,0,1,1,I,39,F,,,,,,
"$23,536",1973,5214,540,600,780,0,1080,1800,0,2,1,B,45,M,,,,,,
"$33,400",0,10428,1680,1200,360,2086,720,1080,0,2,1,P,36,M,,,,,,
"$47,263",4137,7821,1200,1900,510,1304,1260,840,0,2,1,P,27,F,,,,,,
"$108,000",23228,5214,780,900,600,0,3300,1320,0,2,1,M,35,F,,,,,,
"$122,600",27329,17728,1440,1600,3000,1434,3300,3600,2,3,1,B,32,M,,,,,,
"$112,194",32734,13035,1200,2200,600,521,4800,1200,2,2,1,P,31,F,,,,,,
"$191,397",56833,20856,2400,2700,6000,2607,12000,3600,1,3,1,I,55,M,,,,,,
,18082,15642,2880,1200,3600,2607,3840,6000,0,3,1,M,32,F,,,,,,
"$11,280",0,3650,240,200,600,1043,0,120,0,1,0,P,36,M,,,,,,
"$11,420",0,2607,0,300,240,0,240,480,0,1,1,S,43,M,,,,,,
"$60,000",13215,2086,2400,600,0,0,1200,0,0,1,1,I,34,M,,,,,,
"$79,435",15237,,1800,1000,600,0,4800,2160,0,2,1,I,58,F,,,,,,
"$26,958",3468,3911,0,1000,600,0,1080,600,0,2,1,P,28,M,,,,,,
"$48,620",4499,15642,2400,684,720,0,1200,1200,1,3,1,S,38,M,,,,,,
"$77,000",20146,4171,4800,1000,1800,1564,240,1200,0,1,1,B,53,M,,,,,,
"$25,800",0,7300,120,673,0,652,450,1080,0,2,1,S,30,F,,,,,,
"$135,012",29338,6518,1320,800,2400,521,4800,2400,3,4,1,B,36,F,,,,,,
"$186,831",66832,15642,720,1100,1200,1043,960,1200,2,2,1,B,40,M,,,,,,
"$223,600",50162,22594,2360,1460,4000,3302,3200,3040,0,5,1,M,28,F,,,,,,
"$205,199",63765,4171,1440,800,360,1043,600,300,,2,1,M,33,F,,,,,,
"$70,000",17202,4171,4800,650,2400,1564,240,600,0,1,1,B,39,F,,,,,,
"$80,242",14622,10428,1800,1100,600,1564,960,1800,2,2,0,B,37,M,,,,,,
"$50,886",2303,7039,330,520,180,2998,600,540,0,2,1,I,33,M,,,,,,
"$113,066",19805,6257,3000,2800,0,0,1200,600,0,3,1,B,29,M,,,,,,
"$84,140",12775,10428,1440,1150,900,522,1500,1200,1,2,0,B,34,F,,,,,,
"$67,333",16135,2607,1680,1100,480,3128,600,720,0,1,1,B,32,F,,,,,,
"$60,508",12363,5736,1860,1200,1740,3129,1440,4080,0,2,1,B,50,M,,,,,,
,0,10428,780,1340,420,1304,540,1080,0,2,1,B,43,M,,,,,,
"$12,220",0,3128,0,50,0,0,840,600,0,1,1,P,37,F,,,,,,
"$312,800",60204,15642,4800,1200,960,1304,2400,2400,0,5,1,B,42,M,,,,,,
"$86,000",24170,1825,300,760,480,1564,1680,600,0,1,,B,42,M,,,,,,
"$89,700",17846,6257,1800,900,1800,1043,2100,1020,0,2,0,B,,F,,,,,,
"$166,200",35728,15642,2400,3000,2400,1304,1200,3240,0,3,1,P,23,F,,,,,,
"$327,000",117655,5345,240,480,0,131,2100,450,0,2,1,M,42,M,,,,,,
"$203,560",51278,7821,1200,100,0,782,3600,480,0,3,0,M,42,M,,,,,,
"$97,696",17930,7821,600,1000,0,0,600,1200,0,3,1,I,36,F,,,,,,
"$28,132",0,5214,0,620,960,1825,240,480,0,2,1,P,34,F,,,,,,
"$115,100",24700,14339,5400,1400,1200,2607,960,3600,1,3,1,B,37,M,,,,,,
"$54,081",1901,3650,480,2000,1200,0,1200,2400,3,5,0,B,41,F,,,,,,
"$71,612",12526,10428,360,1800,0,0,1200,6000,0,2,1,I,25,F,,,,,,
,24016,6257,600,1400,1200,0,1200,1200,0,3,1,B,31,M,,,,,,
"$26,500",3685,3650,360,600,0,0,600,600,0,1,1,S,37,M,,,,,,
"$53,163",11276,4171,480,1200,1200,0,0,720,0,1,1,M,33,F,,,,,,
"$110,414",30033,5214,0,2000,300,0,1800,1200,1,2,1,M,,F,,,,,,
"$9,598",0,3128,0,450,0,0,120,600,0,1,0,S,52,M,,,,,,
"$37,198",4911,3389,7980,600,1920,521,2880,1200,1,1,0,S,42,F,,,,,,
,8969,11732,1020,1200,1200,782,3000,2040,2,3,0,B,43,F,,,,,,
"$85,204",22381,10950,7800,1825,1500,0,1950,1500,1,2,1,B,50,M,,,,,,
"$133,889",35968,7300,,2400,1200,4171,1200,720,0,2,1,B,43,F,,,,,,
"$26,000",189,5214,1680,740,600,0,600,480,0,1,1,S,32,F,,,,,,
"$54,944",2180,11732,1200,1450,1200,2607,840,360,0,2,1,S,36,M,,,,,,
"$52,558",7836,15642,2400,1060,900,0,2880,1110,1,3,1,M,56,F,,,,,,
"$138,805",34047,6778,1200,1600,1200,521,720,600,0,2,1,M,36,F,,,,,,
"$77,462",14382,10428,720,1500,0,0,2700,840,0,2,1,M,29,F,,,,,,
